[21:39:35][7b70][   NOTICE] rdgc::CGameClient::Run: Developer build - for internal use only! [Build: 2020-11-24 18:52:31] Anno7 UPlayGoldmaster Win64 Release-Static v9.2.972600.3064 LandOfLions
[21:39:55][7b70][   NOTICE] rd3d::COutputWindow::Create: Display 0: 2560 x 1080 resolution
[21:39:55][7b70][   NOTICE] rd3d::COutputWindow::Create: Clamped resolution: 2560 x 1080
[21:39:55][7b70][   NOTICE] rd3d::CAmdGpuServices::InitLibrary: Failed initializing AMD GPU Services (return code 4; this is fine for machines with a non-AMD graphics card)
[21:39:55][7b70][   NOTICE] rd3d::CDevice3D11::Create: Created DirectX11 device with feature level 11.0
[21:39:55][7b70][   NOTICE] rd3d::CDevice3D11::Create: Failed querying GPU infos
[21:39:55][7b70][   NOTICE] rd3d::CDevice3D11::Create: Number of GPUs: 1
[21:39:56][7b70][   NOTICE] rd3d::CShaderManager::InitDirectories: Effect file root dir: ''
[21:39:56][7b70][   NOTICE] rd3d::CShaderManager::InitDirectories: Using precompiled shader path: 'C:/Users/john lee/Documents/Anno 1800/shaders/'
[21:39:56][3490][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'data/shaders/fx/terrain_tundra.fx' doesn't exist, can't compute file size!
[21:40:01][3490][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'data/shaders/fx/terrain_tundra.fx' doesn't exist, can't compute file size!
[21:40:01][7b70][   NOTICE] rd3d::CSessionManager::CreateSession: Created session ID -1:'Default'
[21:40:13][7b70][    ERROR] EalLogOutput: [EAL]: 	This platform has logs enabled.  Don't use it for shipping.
[21:40:13][7b70][    ERROR] EalLogOutput: [EAL]: This platform has traces enabled.  Don't use it for shipping.
[21:40:13][7b70][   NOTICE] rdgs::CAccountSettings::Reset: Language returned by UPlay: "en-US"
[21:40:13][7b70][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/blacklists/chinese.txt failed with error 3: 系統找不到指定的路徑。

[21:40:13][7b70][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/blacklists/taiwanese.txt failed with error 3: 系統找不到指定的路徑。

[21:40:13][7b70][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/blacklists/japanese.txt failed with error 3: 系統找不到指定的路徑。

[21:40:13][7b70][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/blacklists/korean.txt failed with error 3: 系統找不到指定的路徑。

[21:40:18][7b70][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/config/engine/ambientsettings/local/dlc03_01_storm.xml failed with error 3: 系統找不到指定的路徑。

[21:40:19][7b70][    ERROR] GetWindowsUUID: Failed to initialize security. Error code = 0x-7ffefee7
[21:40:21][7b70][   NOTICE] rdui::SendTelemetryMarker: UI-Flow: Start Waiting for RenderEngine
[21:40:23][7b70][   NOTICE] rd3d::CDevice3D::Reset: BackBuffer size 2544x1041
[21:40:23][3490][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'data/dlc06/graphics/props/terrain_props/grass/maps/grass_watered_10_diff.psd' doesn't exist, can't compute file size!
[21:40:32][7b70][   NOTICE] rd3d::CRenderEngine::BeginFrame: All managers and renderers finished loading their most essential resources (all EssentialsLoaded() calls succeeded)
[21:40:32][7b70][   NOTICE] rdui::SendTelemetryMarker: UI-Flow: RenderEngine Finished
[21:40:32][7afc][   NOTICE] rdui::SendTelemetryMarker: UI-Flow: Start Waiting for SceneLoading
[21:40:32][3490][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'test_data/graphics/dummy_jeichner/doedel/ai_123.cfg' doesn't exist, can't compute file size!
[21:40:42][73dc][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file rtt_-1 failed with error 2: 系統找不到指定的檔案。

[21:40:42][73dc][    ERROR] halo::CImageInfos::GetInfo: Could not load image rtt_-1. Please check the file!
[21:40:48][73dc][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/ui/2kimages/main/icons/icon_warning failed with error 3: 系統找不到指定的路徑。

[21:40:48][73dc][    ERROR] halo::CImageInfos::GetInfo: Could not load image data/ui/2kimages/main/icons/icon_warning. Please check the file!
[21:40:48][73dc][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file data/ui/2kimages/main/icons/icon_credits_2d_dark.pn failed with error 3: 系統找不到指定的路徑。

[21:40:48][73dc][    ERROR] halo::CImageInfos::GetInfo: Could not load image data/ui/2kimages/main/icons/icon_credits_2d_dark.pn. Please check the file!
[21:40:49][7b70][   NOTICE] rd3d::CBinkMovie::Wakeup: Waking up movie 'data\ui\video\dummy1920x1200.bk2'
[21:40:49][7b70][   NOTICE] rd3d::CBinkMovie::Suspend: Suspending movie 'data\ui\video\dummy1920x1200.bk2'
[21:40:49][3490][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'data/ui/placeholderimgages/3dobject.png' doesn't exist, can't compute file size!
[21:40:49][7afc][   NOTICE] rdui::SendTelemetryMarker: UI-Flow: Start Waiting for Epilepsy Screen
[21:40:56][7afc][   NOTICE] rdui::SendTelemetryMarker: UI-Flow: Start Waiting for Intro
[21:40:56][7b70][   NOTICE] rd3d::CBinkMovie::Wakeup: Waking up movie 'data\ui\video\deco_texture.bik'
[21:40:56][7b70][   NOTICE] rd3d::CBinkMovie::Suspend: Suspending movie 'data\ui\video\deco_texture.bik'
[21:40:56][7b70][   NOTICE] rd3d::CBinkMovie::Wakeup: Waking up movie 'data\ui\video\deco_texture.bik'
[21:40:56][7b70][   NOTICE] rd3d::CBinkMovie::Wakeup: Waking up movie 'data\ui\video\intromovie_ubi_3sec_2k.bk2'
[21:41:02][7afc][   NOTICE] rdui::SendTelemetryMarker: UI-Flow: Startup Complete (A)
[21:41:02][7b70][   NOTICE] rd3d::CBinkMovie::Wakeup: Waking up movie 'data\ui\video\mainmenue_01.bk2'
[21:41:02][7b70][   NOTICE] rd3d::CBinkMovie::Suspend: Suspending movie 'data\ui\video\mainmenue_01.bk2'
[21:41:02][7b70][   NOTICE] rd3d::CBinkMovie::Wakeup: Waking up movie 'data\ui\video\mainmenue_01.bk2'
[21:41:03][7b70][   NOTICE] rd3d::CBinkMovie::Suspend: Suspending movie 'data\ui\video\intromovie_ubi_3sec_2k.bk2'
[21:42:04][3490][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'data/ui/2kimages/main/icons/icon_warning' doesn't exist, can't compute file size!
[21:42:06][3490][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'rtt_-1' doesn't exist, can't compute file size!
[21:45:13][7b70][   NOTICE] rd3d::CDevice3D::Reset: BackBuffer size 2560x1080
[21:45:19][7b70][   NOTICE] rd3d::CRenderInterface::ProcessSessionCreate: Creating session 'Session Worldmap (180039)'
[21:45:19][7b70][   NOTICE] rd3d::CSessionManager::CreateSession: Created session ID 1036:'Session Worldmap (180039)'
[21:45:19][7b70][   NOTICE] rd3d::CRenderInterface::ProcessSessionCreate: Creating session 'Europe_Session (180023)'
[21:45:19][7b70][   NOTICE] rd3d::CSessionManager::CreateSession: Created session ID 1041:'Europe_Session (180023)'
[21:45:19][7b70][   NOTICE] rd3d::CBinkMovie::Suspend: Suspending movie 'data\ui\video\mainmenue_01.bk2'
[21:45:19][7b70][   NOTICE] rdgs::CSessionLoaderJob::PreSyncTick: Start loading 180039
[21:45:20][7afc][   NOTICE] rdgs::CSessionLoaderJob::StartLoading: add loading job to scheduler...
[21:45:20][7afc][    ERROR] rdsdk::CLogger::TraceLastError: Failed to open file test_data/graphics/placeholder/placeholder.ifo failed with error 3: 系統找不到指定的路徑。

[21:45:20][3490][    ERROR] rdsdk::CResourceHandler::OnIdle: File 'test_data/graphics/placeholder/placeholder.cfg' doesn't exist, can't compute file size!
[21:45:20][7b70][   NOTICE] rdgs::CSessionLoaderJob::PublishSession: Finished loading 180039
[21:45:20][7b70][   NOTICE] rdgs::CSessionLoaderJob::PreSyncTick: Start loading 180023
